Event,SwimmerName,Time,Cut
100 Back,Lucien Vergnes,45.32,NCAA B
100 Back,Ilya Kharun,45.33,NCAA B
100 Back,Luca Urlando,45.34,NCAA B
100 Back,Jack Wilkening,45.34,USNTL
100 Back,Rex Maurer,45.36,USNTL
100 Back,Stepan Goncharov,45.39,USNTL
100 Back,Remi FABIANI,45.40,NCAA B
100 Back,Jack Aikins,45.43,USNTL
100 Back,Matthew Bittner,45.48,NCAA B
100 Back,Spencer Nicholas,45.49,USNTL
100 Back,Bjorn Seeliger,45.55,NCAA B
100 Back,Mario Molla Yanes,45.59,USNTL
100 Back,Cooper Morley,45.61,NCAA B
100 Back,Cornelius Jahn,45.62,USNTL
100 Back,Kai Van Westering,45.64,USNTL
100 Back,Ryan Hardy,45.64,NCAA B
100 Back,Cheuk Yin (Wesley) NG,45.69,NCAA B
100 Back,Tommy Hagar,45.70,NCAA B
100 Back,Berke Saka,45.74,NCAA B
200 Back,Jonny Marshall,95.85,NCAA A
200 Back,Hubert KOS,96.10,NCAA A
200 Back,Owen McDonald,97.15,NCAA A
200 Back,Gabriel Jett,97.19,NCAA A
200 Back,Will Modglin,97.84,NCAA A
200 Back,Luca Urlando,98.18,NCAA A
200 Back,Destin Lasco,98.21,NCAA A
200 Back,Rex Maurer,98.27,NCAA A
200 Back,David King,98.36,NCAA A
200 Back,Michel Arkhangelskiy,98.50,NCAA A
200 Back,Oleksandr ZHELTYAKOV,98.78,NCAA A
200 Back,Pietro Ubertalli,98.99,NCAA B
200 Back,Kai Van Westering,99.24,USNTL
200 Back,Miroslav Knedla,99.26,USNTL
200 Back,Nate Stoffle,99.36,NCAA B
200 Back,Kyle Peck,99.36,USNTL
200 Back,Cornelius Jahn,99.50,USNTL
200 Back,Aaron Sequeira,99.54,NCAA B
200 Back,Daniel Diehl,99.62,USNTL
200 Back,Joshua Zuchowski,99.71,NCAA B
200 Back,Keaton Jones,99.76,NCAA B
200 Back,Tommy Hagar,99.77,NCAA B
200 Back,Jack Aikins,99.84,USNTL
200 Back,Ruard Van Renen,99.92,NCAA B
200 Back,Mewen Tomac,99.99,NCAA B
200 Back,Filip Kosinski,99.99,USNTL
200 Back,Aiden Norman,100.02,USNTL
200 Back,Ben Irwin,100.04,B
200 Back,Caleb Maldari,100.05,USNTL
200 Back,Berke Saka,100.07,NCAA B
200 Back,Filip Suchanski,100.13,NCAA B
200 Back,JT Ewing,100.13,USNTL
200 Back,Ziyad Saleem,100.18,NCAA B
200 Back,Sam Powe,100.24,NCAA B
200 Back,Johnny Crush,100.28,NCAA B
200 Back,Anthony Rincon,100.32,NCAA B
200 Back,Jack Wilkening,100.34,USNTL
200 Back,Jack Berube,100.37,NCAA B
200 Back,Hunter Gubeno,100.38,NCAA B
200 Back,Drew Huston,100.39,NCAA B
200 Back,Harrison Lierz,100.48,USNTL
200 Back,Humberto Najera,100.49,NCAA B
200 Back,Levente Balogh,100.55,USNTL
200 Back,Eric Stelmar,100.61,NCAA B
200 Back,Griffin Curtis,100.69,USNTL
200 Back,Andrew Rich,100.70,NCAA B
200 Back,Nick Simons,100.77,USNTL
200 Back,Mario Molla Yanes,100.78,USNTL
200 Back,Will Meyers,100.81,NCAA B
200 Back,JT Schmid,100.84,USNTL
100 Breast,Julian Smith,49.51,NCAA A
100 Breast,Finn Brooks,49.94,NCAA A
100 Breast,Nate Germonprez,50.14,NCAA A
100 Breast,Jack Kelly,50.60,NCAA A
100 Breast,Denis PETRASHOV,50.62,NCAA A
100 Breast,Brian Benzing,50.73,NCAA A
100 Breast,Carles COLL MARTI,50.78,NCAA A
100 Breast,Yamato Okadome,50.87,NCAA A
100 Breast,Josh Matheny,50.94,NCAA A
100 Breast,Caspar Corbeau,50.97,NCAA A
100 Breast,Ron Polonsky,50.99,NCAA A
100 Breast,Will Scholtz,51.03,USNTL
100 Breast,Jassen Yep,51.10,USNTL
100 Breast,Aleksas Savickas,51.15,USNTL
100 Breast,Matvei Namakonov,51.16,NCAA B
100 Breast,Luke Barr,51.17,USNTL
100 Breast,Kohen Rankin,51.26,NCAA B
100 Breast,Zhier Fan,51.28,NCAA B
100 Breast,Noah Nichols,51.32,USNTL
100 Breast,Kaique Alves,51.37,NCAA B
100 Breast,Ben Delmar,51.44,USNTL
100 Breast,Matt Fallon,51.46,USNTL
100 Breast,Kevin Houseman,51.48,USNTL
100 Breast,Jake Eccleston,51.49,USNTL
100 Breast,Uros Zivanovic,51.53,NCAA B
100 Breast,Ozan Kalafat,51.53,USNTL
100 Breast,Mitch Mason,51.55,USNTL
100 Breast,Junhao Chan,51.56,NCAA B
100 Breast,Travis Gulledge,51.56,USNTL
100 Breast,Andy Dobrzanski,51.58,NCAA B
100 Breast,Daniel Nicusan,51.58,NCAA B
100 Breast,Watson Nguyen,51.61,USNTL
100 Breast,Henry Bethel,51.62,NCAA B
100 Breast,Hank Rivers,51.63,NCAA B
100 Breast,Tonislav Sabev,51.69,NCAA B
100 Breast,Adomas Gatulis,51.71,USNTL
100 Breast,Sam Hoover,51.72,USNTL
100 Breast,Luca PG PUSATERI-GISSENDANER,51.75,NCAA B
100 Breast,Alexei Avakov,51.79,USNTL
100 Breast,Tommaso BARAVELLI,51.80,NCAA B
100 Breast,Jadon Wuilliez,51.84,NCAA B
100 Breast,Demirkan DEMIR,51.85,NCAA B
100 Breast,Alex Sanchez,51.87,USNTL
100 Breast,Xavier Ruiz,51.89,USNTL
100 Breast,Volodymyr Lisovets,51.89,USNTL
100 Breast,Trey Sheils,51.91,NCAA B
100 Breast,Rick Mihm,51.95,NCAA B
100 Breast,Leandro Odorici,51.97,NCAA B
100 Breast,Chris O'Grady,52.08,NCAA B
100 Breast,Ben Dillard,52.11,NCAA B
200 Breast,Matt Fallon,108.85,NCAA A
200 Breast,Carles COLL MARTI,109.62,NCAA A
200 Breast,Jack Kelly,109.80,NCAA A
200 Breast,Josh Matheny,109.83,NCAA A
200 Breast,Jassen Yep,109.93,NCAA A
200 Breast,Aleksas Savickas,110.02,NCAA A
200 Breast,Yamato Okadome,110.19,NCAA A
200 Breast,Denis PETRASHOV,110.35,NCAA A
200 Breast,Nate Germonprez,110.55,NCAA A
200 Breast,Jake Eccleston,111.03,USNTL
200 Breast,Will Scholtz,111.04,USNTL
200 Breast,Hank Rivers,111.23,NCAA B
200 Breast,Ben Delmar,111.29,USNTL
200 Breast,Caspar Corbeau,111.65,USNTL
200 Breast,Toby Barnett,111.73,USNTL
200 Breast,Alex Sanchez,111.87,USNTL
200 Breast,Andy Dobrzanski,111.93,NCAA B
200 Breast,Chris O'Grady,112.07,NCAA B
200 Breast,Ben Dillard,112.09,NCAA B
200 Breast,Brayden Taivassalo,112.20,USNTL
200 Breast,Jed Garner,112.30,USNTL
200 Breast,Oscar Bilbao,112.31,NCAA B
200 Breast,Ron Polonsky,112.36,NCAA B
200 Breast,Tommaso BARAVELLI,112.37,NCAA B
200 Breast,Daniel Li,112.60,NCAA B
200 Breast,Joe Polyak,112.67,USNTL
200 Breast,Xavier Ruiz,112.74,USNTL
200 Breast,Josh Corn,112.89,NCAA B
200 Breast,Noah Nichols,112.96,USNTL
200 Breast,Junhao Chan,112.99,NCAA B
200 Breast,Peter Bretzmann,113.08,USNTL
200 Breast,Peter Whittington,113.09,USNTL
200 Breast,Ozan Kalafat,113.10,USNTL
200 Breast,Watson Nguyen,113.12,USNTL
200 Breast,Daniel Nicusan,113.15,NCAA B
200 Breast,Baylor Nelson,113.24,USNTL
200 Breast,Logan Brown,113.37,USNTL
200 Breast,Matthew Heilman,113.56,USNTL
200 Breast,Trey Sheils,113.59,NCAA B
200 Breast,Evan Yoo,113.64,NCAA B
200 Breast,Tommy Bried,113.65,USNTL
200 Breast,Luke Vickers,113.71,USNTL
200 Breast,Charlie Egeland,113.74,NCAA B
200 Breast,Ethan Dang,113.74,NCAA B
200 Breast,Max MATTEAZZI,113.81,USNTL
200 Breast,Travis Gulledge,113.89,USNTL
200 Breast,Tristan Jankovics,113.93,USNTL
200 Breast,Tavner Wisdom,113.95,NCAA B
200 Breast,Brian Benzing,113.97,USNTL
200 Breast,Demirkan DEMIR,113.97,NCAA B
100 Fly,Josh Liendo,43.23,NCAA A
100 Fly,Luca Urlando,43.62,NCAA A
100 Fly,Jordan Crooks,43.77,NCAA A
100 Fly,Ilya Kharun,43.85,NCAA A
100 Fly,Hubert KOS,44.05,NCAA A
100 Fly,Andrei Minakov,44.27,NCAA A
100 Fly,Scotty Buff,44.28,NCAA A
100 Fly,Tyler Ray,44.28,NCAA A
100 Fly,Connor Foote,44.34,NCAA A
100 Fly,Michel Arkhangelskiy,44.36,NCAA A
100 Fly,Spencer Nicholas,44.41,NCAA A
100 Fly,Dare Rose,44.55,NCAA B
100 Fly,Nick Finch,44.57,NCAA B
100 Fly,Finn Brooks,44.59,USNTL
100 Fly,Mario Molla Yanes,44.63,USNTL
100 Fly,Harrison Lierz,44.67,USNTL
100 Fly,Youssef Ramadan,44.68,USNTL
100 Fly,Kyle Peck,44.74,USNTL
100 Fly,Tomer Frankel,44.74,USNTL
100 Fly,Gui SANTOS,44.76,USNTL
100 Fly,Luke Miller,44.86,USNTL
100 Fly,PJ Foy,44.91,USNTL
100 Fly,Filip Senc-Samardzic,44.93,NCAA B
100 Fly,Haakon Naughton,44.94,NCAA B
